Company_name,Role,Skill,Question_category,Question,Answer,Round
Google,Data Scientist,Machine Learning,Technical,How does regularization prevent overfitting?,L1/L2 penalties shrink coefficients to reduce model complexity.,2
Google,Data Scientist,Machine Learning,Technical,Explain gradient boosting.,Iteratively combines weak learners (trees) to minimize errors using gradient descent.,3
Google,Data Scientist,Machine Learning,Technical,How would you handle categorical variables with 100+ categories?,Use target encoding or embeddings; avoid one-hot for high cardinality.,2
Google,Data Scientist,SQL,Technical,Write a query to find users who purchased the same product twice.,"SELECT user_id FROM purchases GROUP BY user_id, product_id HAVING COUNT(*) > 1;",1
Google,Data Scientist,SQL,Technical,How would you optimize a query joining 4 large tables?,"Add indexes, filter with WHERE before JOINs, use query hints if needed.",3
Google,Data Scientist,Statistics,Technical,How do you calculate sample size for an A/B test?,"Use power analysis with effect size, α=0.05, and power (1-β=0.8). Adjust for expected dropout rates.",2
Google,Data Scientist,Statistics,Technical,Explain Bayes’ Theorem with an example.,P(A∥B)=P(B)P(B∥A)P(A). Example: Spam detection (update probability of spam given keywords).,2
Google,Data Scientist,Statistics,Technical,What’s the difference between MLE and MAP?,MLE maximizes likelihood; MAP incorporates prior beliefs (Bayesian approach).,3
Google,Data Scientist,Machine Learning,Technical,How does Lasso regression perform feature selection?,L1 penalty shrinks coefficients to zero for irrelevant features.,2
Google,Data Scientist,Machine Learning,Technical,Explain attention in transformers.,Weights input importance via query-key-value matrices (scaled dot-product attention).,3
Google,Data Scientist,Machine Learning,Technical,Handle categorical variables with 1000+ categories.,"Use target encoding, embeddings, or hierarchical clustering (avoid one-hot).",3
Google,Data Analyst,SQL,Technical,Find users who made purchases on 3+ consecutive days.,Use LAG()/LEAD() window functions to track date sequences.,3
Google,Data Analyst,SQL,Technical,Optimize a query with multiple subqueries.,Replace with CTEs (WITH clause) or temporary tables for readability/performance.,3
Google,Data Analyst,SQL,Technical,Calculate 7-day rolling retention rate.,"Self-join on user_id with date_diff = 7, then compute percentage.",2
Google,Data Analyst,Product Sense,Technical,Design metrics for Google Photos engagement.,"Track: Active users/week, shares, storage usage. Avoid vanity metrics.",3
Google,Data Analyst,Product Sense,Technical,Improve Google Search’s zero-result rate.,"Suggest: Autocomplete refinements, related queries, or fallback results.",3
Google,Data Analyst,Statistics,Technical,How would you test if a 5% CTR lift is statistically significant?,Use two-proportion z-test with α=0.05; check p-value < 0.05 and power > 80%.,2
Google,Data Analyst,Statistics,Technical,Explain Bayes' Theorem with a product example.,P(A∥B)=P(B)P(B∥A)P(A). Example: Spam detection (update probability given keywords).,2
Google,Data Analyst,Statistics,Technical,When would you use Poisson regression?,"For count data where variance ≈ mean (e.g., daily website visits).",2
Google,Data Analyst,Machine Learning,Technical,How does Lasso regression perform feature selection?,L1 penalty shrinks coefficients to zero for irrelevant features.,2
Google,Data Analyst,Machine Learning,Technical,Explain attention in transformers.,Weights input importance via query-key-value matrices (scaled dot-product).,3
Google,Data Analyst,Machine Learning,Technical,Handle categorical variables with 1000+ categories.,"Use target encoding, embeddings, or hierarchical clustering.",3
Google,Data Analyst,SQL,Technical,Find users with ≥3 consecutive logins.,Use LAG()/LEAD() to track date sequences.,3
Google,Data Analyst,SQL,Technical,Optimize a slow query with multiple subqueries.,Replace with CTEs (WITH clause) or temp tables.,3
Google,Data Analyst,SQL,Technical,Calculate 7-day rolling retention in BigQuery.,"Self-join on user_id with date_diff = 7, compute percentage.",2
Google,Data Analyst,Product Sense,Technical,Design metrics for Google Photos.,"Track: Active users/week, shares, storage usage. Avoid vanity metrics.",3
Google,Data Analyst,Product Sense,Technical,Improve Google Search's zero-result rate.,"Suggest: Autocomplete refinements, related queries.",1
Google,Data Analyst,SQL,Technical,How would you use DENSE_RANK to find top N users by revenue?,Use DENSE_RANK() over ORDER BY revenue DESC,1
Google,Data Analyst,SQL,Technical,Write a query to use self-join on employee hierarchy table,Join table where employee.manager_id = manager.employee_id,2
Google,Data Analyst,SQL,Technical,How would you create proper indexing for query optimization?,Index commonly filtered/joined columns,3
Google,Data Analyst,SQL,Technical,Find users who logged in 3 days in a row,Use window functions and LAG(),3
Google,Data Analyst,SQL,Technical,Calculate median using SQL,Use PERCENTILE_CONT() or windowing,2
Google,Data Analyst,SQL,Technical,Difference between UNION and UNION ALL?,"UNION removes duplicates, UNION ALL keeps them",1
Google,Data Analyst,SQL,Technical,How would you debug a query that's running slow?,"Check EXPLAIN plan, indexes, filters",3
Google,Data Analyst,SQL,Technical,Write query for self-join the employee-manager hierarchy,Join same table on manager_id = employee_id,2
Google,Data Analyst,SQL,Technical,How would you use COUNT with GROUP BY department?,Use GROUP BY department and COUNT(*),2
Google,Data Analyst,SQL,Technical,Explain different joins,"INNER, LEFT, RIGHT, FULL joins",1
Google,Data Scientist,Machine Learning,Technical,Explain classification vs regression,Classification outputs categories; regression predicts values,1
Google,Data Scientist,Machine Learning,Technical,How does logistic regression work?,Uses sigmoid to output probabilities,1
Google,Data Scientist,Machine Learning,Technical,What's the loss function in linear regression?,Mean Squared Error,1
Google,Data Scientist,Machine Learning,Technical,How would you handle multi-class classification?,Use One-vs-Rest or softmax,2
Google,Data Scientist,Machine Learning,Technical,When would you use k-means?,Clustering unlabeled data,2
Google,Data Scientist,Machine Learning,Technical,How do you choose the optimal number of clusters?,Elbow method (SSE vs K),3
Google,Data Scientist,Machine Learning,Technical,Explain how PCA works,Finds orthogonal components that maximize variance,3
Google,Data Scientist,Machine Learning,Technical,What problem does ReLU solve?,Mitigates vanishing gradient,2
Google,Data Scientist,Machine Learning,Technical,How does dropout help?,Randomly deactivates neurons to reduce overfitting,2
Google,Data Scientist,Machine Learning,Technical,Explain attention mechanism in transformers,Weights each input dynamically by relevance,3
Google,Data Scientist,Machine Learning,Technical,When would you use precision over recall?,When false positives are more costly than false negatives,2
Google,Data Analyst,SQL,Technical,How would you use DENSE_RANK to find top N users by revenue?,Use DENSE_RANK() over ORDER BY revenue DESC,1
Google,Data Analyst,SQL,Technical,Write a query to use self-join on employee hierarchy table,Join table where employee.manager_id = manager.employee_id,2
Google,Data Analyst,SQL,Technical,How would you create proper indexing for query optimization?,Index commonly filtered/joined columns,3
Google,Data Analyst,SQL,Technical,Find users who logged in 3 days in a row,Use window functions and LAG(),3
Google,Data Analyst,SQL,Technical,Calculate median using SQL,Use PERCENTILE_CONT() or windowing,2
Google,Data Analyst,SQL,Technical,Difference between UNION and UNION ALL?,"UNION removes duplicates, UNION ALL keeps them",1
Google,Data Analyst,SQL,Technical,How would you debug a query that's running slow?,"Check EXPLAIN plan, indexes, filters",3
Google,Data Analyst,SQL,Technical,Write query for self-join the employee-manager hierarchy,Join same table on manager_id = employee_id,2
Google,Data Analyst,SQL,Technical,How would you use COUNT with GROUP BY department?,Use GROUP BY department and COUNT(*),2
Google,Data Scientist,Machine Learning,Technical,Explain classification vs regression,Classification outputs categories; regression predicts values,1
Google,Data Scientist,Machine Learning,Technical,How does logistic regression work?,Uses sigmoid to output probabilities,1
Google,Data Scientist,Machine Learning,Technical,What's the loss function in linear regression?,Mean Squared Error,1
Google,Data Scientist,Machine Learning,Technical,How would you handle multi-class classification?,Use One-vs-Rest or softmax,2
Google,Data Scientist,Machine Learning,Technical,When would you use k-means?,Clustering unlabeled data,2
Google,Data Scientist,Machine Learning,Technical,How do you choose the optimal number of clusters?,Elbow method (SSE vs K),3
Google,Data Scientist,Machine Learning,Technical,Explain how PCA works,Finds orthogonal components that maximize variance,3
Google,Data Scientist,Machine Learning,Technical,What problem does ReLU solve?,Mitigates vanishing gradient,2
Google,Data Scientist,Machine Learning,Technical,How does dropout help?,Randomly deactivates neurons to reduce overfitting,2
Google,Data Scientist,Machine Learning,Technical,Explain attention mechanism in transformers,Weights each input dynamically by relevance,3
Google,Data Scientist,Machine Learning,Technical,When would you use precision over recall?,When false positives are more costly than false negatives,2
Amazon,Data Science,SQL,Technical,Write a SQL code to explain the month-to-month user retention rate?,"SELECT a.month AS signup_month, b.month AS return_month, COUNT(DISTINCT b.user_id) AS retained_users FROM users a JOIN users b ON a.user_id = b.user_id AND b.month = DATE_ADD(a.month, INTERVAL 1 MONTH) GROUP BY a.month, b.month;",3
Amazon,Data Science,SQL,Technical,Describe different JOINs in SQL.,"INNER JOIN: Only matching rows. LEFT JOIN: All from left + matched right. RIGHT JOIN: All from right + matched left. FULL JOIN: All rows, with NULLs if no match.SELF JOIN: Table joined to itself.CROSS JOIN: Cartesian product.",1
Amazon,Data Science,SQL,Technical,What is the most advanced query you’ve ever written?,"A query that joins 5+ tables, uses window functions (ROW_NUMBER()), CTEs, dynamic filters, and complex aggregations to compute rolling 90-day LTV for users segmented by cohort.",3
Amazon,Data Science,SQL,Technical,"Given a table with three columns, (id, category, value) and each id has 3 or less categories (price, size, color); how can you find those id's for which the value of two or more categories matches one another?",SELECT id FROM your_table GROUP BY id HAVING COUNT(DISTINCT value) < COUNT(*);,2
Amazon,Data Science,SQL,Technical,"Given a csv file with ID and Quantity columns, 50million records, and the size of the data is 2gig, write a program to aggregate the QUANTITY column.","import pandas as pdchunksize = 10**6total = 0for chunk in pd.read_csv('file.csv', usecols=['Quantity'], chunksize=chunksize):total += chunk['Quantity'].sum()print(""Total Quantity:"", total)",2
Amazon,Data Science,Machine Learning,Technical,How do you interpret logistic regression?,Predicts probability of binary outcome. Coefficients indicate log-odds change. sigmoid(wX + b) yields probability.,2
Amazon,Data Science,Machine Learning,Technical,How does dropout work?,"A regularization technique where neurons are randomly ""dropped"" during training to prevent overfitting by ensuring the model doesn't rely on specific neurons.",2
Amazon,Data Science,Machine Learning,Technical,What is L1 vs. L2 regularization?,"L1 (Lasso): Shrinks coefficients to zero (feature selection). L2 (Ridge): Penalizes large weights (keeps all features, smooths weights).",2
Amazon,Data Science,Machine Learning,Technical,What is the difference between bagging and boosting?,"Bagging: Builds models in parallel (e.g., Random Forest). Boosting: Builds models sequentially, correcting previous errors (e.g., XGBoost).",1
Amazon,Data Science,Machine Learning,Technical,Explain in detail how a 1D CNN works.,"Works on sequential data (e.g., time series, text). Convolves 1D filters over input to extract local patterns. Pooling reduces dimensionality. Output passed to fully connected layers.",1
Amazon,Data Science,Machine Learning,Technical,Describe a case where you have solved an ambiguous business problem using machine learning.,"Example At FIS, I tackled card fraud prediction with unclear labels. I explored unsupervised clustering and built a semi-supervised model using domain rules and heuristics to label edge cases.",2
Amazon,Data Science,Machine Learning,Technical,"Having a categorical variable with thousands of distinct values, how would you encode it?","Use target encoding, hash encoding, or embedding layers (in deep learning). Avoid one-hot for 1000s of categories.",1
Amazon,Data Science,Machine Learning,Technical,How do you manage an unbalanced data set?,"Techniques: Resampling (SMOTE, undersampling), Class weights, Precision-recall metrics, Ensemble methods tuned for imbalance",2
Amazon,Data Science,Machine Learning,Technical,What is lstm? Why use lstm? How was lstm used in your experience?,LSTM is a type of RNN with memory cells to capture long-term dependencies. I used it for time series sales forecasting and sentiment analysis.,3
Amazon,Data Science,Machine Learning,Technical,What did you use to remove multicollinearity? Explain what values of VIF you used.,Used Variance Inflation Factor (VIF). Dropped variables with VIF > 5 to improve model interpretability and reduce instability.,2
Amazon,Data Science,Machine Learning,Technical,Explain different time series analysis models. What are some time series models other than Arima?,"Prophet, LSTM, Holt-Winters, TBATS, VAR, Transformer-based forecasting",1
Amazon,Data Science,Machine Learning,Technical,How does a neural network with one layer and one input and output compare to a logistic regression?,They are functionally the same if using sigmoid activation. Logistic regression is a single-layer NN with no hidden layer.,1
Amazon,Data Science,Machine Learning,Technical,How do you evaluate Gen AI models?,"Human feedback scoring, BLEU/ROUGE for summarization, Hallucination rate, Response coherence, Factual accuracy (RAG evals), Prompt-based test suites",2
Amazon,Data Science,Machine Learning,Technical,"Explain overfitting, When does it happen? How can you avoid it?","Occurs when model performs well on training data but poorly on unseen data. Avoid by, Dropout, Regularization (L1/L2), Early stopping, Data augmentation",3
Amazon,Data Science,Machine Learning,Technical,How do you handle overfitting and underfitting in machine learning models?,"Overfitting: Simplify model, more data, regularize, Underfitting: Add features, increase model capacity, reduce regularization.",1
Amazon,Data Science,Machine Learning,Technical,"What is random forest, and what is C5?","Random Forest: Ensemble of decision trees using bagging. C5 (C5.0): Successor of C4.5, faster, more accurate decision tree algorithm.",2
Amazon,Data Science,Machine Learning,Technical,What would a neural network without an activation function look like?,"Becomes a linear model. Without non-linearity, it can’t learn complex patterns.",3
Amazon,Data Science,Machine Learning,Technical,How do you perform anomaly detection?,"Statistical (Z-score, IQR), Isolation Forest, Autoencoders, One-Class SVM, and Use case: detecting fraud, outliers in sensors",2
Amazon,Data Science,Machine Learning,Technical,Describe a scenario where collecting more data may not be useful.,"Poor feature quality, Data is already representative, Label noise dominates, algorithm/model is the bottleneck",1
Amazon,Data Science,Machine Learning,Technical,Explain the difference between grid search cv and random search cv.,"GridSearchCV: Exhaustively searches all combinations, RandomSearchCV: Randomly samples, faster, good for large search spaces.",2
Amazon,Data Science,Machine Learning,Technical,"If there is a defective/unsafe product on Amazon, how would you identify it?","Use NLP on reviews + metadata to find signals like “fire,” “injury.” Combine with return reasons and complaints. Train classification model on labeled incidents.",2
Amazon,Data Science,Machine Learning,Technical,Explain transformer architecture.,"Attention mechanism (self-attention)
 

 Encoder-decoder or decoder-only
 

 Scales well, parallelizable
 

 Core of LLMs like BERT, GPT",1
Amazon,Data Science,Machine Learning,Technical,Build a RAG system.,"Embed documents using sentence transformers.
 

 Store in vector DB (e.g., FAISS).
 

 For a query: retrieve top-k docs + prompt LLM.
 

 Prompt = Query + Retrieved context → LLM → Answer.",2
Amazon,Data Science,Machine Learning,Technical,Describe the differences between Adam vs SGD.,"Adam: Adaptive learning rate + momentum. Fast convergence.
 

 SGD: Simpler, better generalization but slower. Use Adam for quick experiments, switch to SGD for fine-tuning.",2
Amazon,Data Science,Machine Learning,Technical,Explain what is p-value,"The p-value is that it’s the likelihood of an observed statistic occurring due to chance, given the sampling distribution. The alpha sets the standard for how extreme the data must be before the null hypothesis can be rejected. The p-value indicates how extreme the data is.",3
Amazon,Data Science,Machine Learning,Technical,Explain the C-value in SVM,"To give context, a Support Vector Machine (SVM) is a supervised classification technique that finds a **** hyperplane or a boundary between the two classes of data that maximizes the margin between the two classes. There are many planes that can separate the two classes, but only one plane can maximize the margin or distance between the classes. The C parameter indicates the extent to which you want your SVM to have a soft margin vs a hard margin. Large values of C result in a harder margin that does a better job of correctly classifying the training points but results in a smaller-margin. Conversely, smaller values of C result in a softer margin that creates a larger-margin hyperplane even if it misclassifies more points. Generally, a softer margin is used to prevent overfitting.",3
Amazon,Data Science,Machine Learning,Technical,"Discuss implementation and fine-tuning of transformer architectures for personalized content or conversational AI, e.g., pretraining on domain-specific datasets for Alexa Skills.","To implement and fine-tune transformer models for personalized content or Alexa Skills: Model Selection: Use pre-trained transformer architectures like BERT, T5, or GPT-2/3 as the base.For Alexa Skills, decoder-only (GPT-style) models are often ideal for generation tasks.Domain-Specific Pretraining (Optional):Collect conversational logs, FAQs, or interaction data from the domain (e.g., shopping, smart home). Further pretrain the model using masked language modeling (BERT-style) or causal LM (GPT-style) objectives to adapt to domain vocabulary and tone. Fine-Tuning: Fine-tune the model on intent classification, slot filling, or response generation tasks using supervised labeled data. Use task-specific heads on top of the transformer encoder/decoder layers. Consider LoRA (Low-Rank Adaptation) or PEFT (Parameter-Efficient Fine-Tuning) for faster tuning with fewer parameters. Personalization Techniques: Inject user-specific features (history, preferences) into prompts (prompt tuning) or model embeddings. For persistent memory, use retrieval-augmented generation (RAG) to fetch user data during inference. Evaluation: Use metrics like BLEU, ROUGE, F1 for response quality, and accuracy for intent classification. Include human evaluation to assess coherence, tone, and personalization.Deployment Considerations: Optimize model for latency using ONNX, Distillation, or quantization.Use streaming inference for real-time Alexa response generation.Example: For a cooking assistant Alexa Skill, a domain-adapted GPT model was fine-tuned on recipe dialogues. During inference, it uses RAG to fetch user-preferred ingredients and generate dynamic instructions tailored to dietary restrictions.",3
Amazon,Data Science,Modeling,Technical,How would you improve a classification model that suffers from low precision?,"Analyze the confusion matrix to identify false positives. Try resampling (e.g., undersample negatives), adjust threshold, or use precision-focused metrics in model training. Use class-weighted loss functions or XGBoost with scale_pos_weight. Refine feature selection to remove misleading predictors.",2
Amazon,Data Science,Modeling,Technical,"We have two models, one with 85% accuracy, one 82%. Which one do you pick?","Depends on the business objective and class imbalance: If balanced data, 85% is better. If imbalanced, choose the model with better precision, recall, or AUC-ROC. Always look beyond accuracy—consider impact metrics (e.g., false positive cost).",1
Amazon,Data Science,Modeling,Technical,"When you have time series data by month, and it has large data records, how will you find significant differences between this month and previous month?","Use aggregations (mean, count, std) grouped by month. Perform statistical tests (t-test or z-test) on key metrics. Visualize using time series charts or rolling averages. Flag anomalies using models like Prophet or Z-score outliers.",1
Amazon,Data Science,Modeling,Technical,How do you inspect missing data and when are they important?,"Use isnull().sum() or heatmaps to assess patterns. Important when missingness is not random (MCAR vs MAR vs MNAR). Can signal data collection issues or impact model performance. Decide to drop, impute, or treat as a feature depending on the case.",3
Amazon,Data Science,Modeling,Technical,"Assume you have a file containing data in the form of data = [{""one"":a1, ""two"":b1,...},{""one"":a2, ""two"":b2,...},{""one"":a3, ""two"":b3,...},...] How could you split this data into 30% test and 70% train data?","import json, random with open(""data.json"") as f: data = json.load(f) random.shuffle(data) split = int(len(data) * 0.7) train, test = data[:split], data[split:]",3
Amazon,Data Science,Modeling,Technical,There's a need for A/B testing of green vs yellow colors for the buy button. How would you design this experiment?,"Randomly assign users to Green (control) or Yellow (variant). Define primary metric (e.g., click-through rate or conversions). Ensure sample size is statistically significant. Run test over sufficient time to avoid seasonal bias. Use t-test or Bayesian analysis to compare results.",1
Amazon,Data Science,Modeling,Technical,Say you want to predict how many units of an item you want to stock in a grocery store each day for the next week. How would you go about doing that?,"Frame it as a time series forecasting problem. Use past daily sales, holidays, promotions, weather as features. Apply models like ARIMA, Prophet, LSTM, or XGBoost regression. Evaluate using MAPE or RMSE, and incorporate inventory constraints.",2
Amazon,Data Science,Modeling,Technical,How do you handle categorical variables?,"For few categories: use one-hot encoding. For high cardinality: use target encoding, frequency encoding, or embeddings. For tree-based models, label encoding can work directly.",3
Amazon,Data Science,Modeling,Technical,"Design an experiment to evaluate the success of Prime Video recommendations, ensuring both user satisfaction and business KPIs.","Run an A/B test: current vs new recommender.
 

 Track engagement KPIs (clicks, watch time, completion rate).
 

 Include user satisfaction via surveys/NPS.
 

 Analyze retention, bounce rate, and cross-category views.
 

 Use cohort analysis to ensure long-term impact.",1
Amazon,Data Scientist,SQL,Technical,Write a SQL code to explain the month-to-month user retention rate?,"SELECT a.month AS signup_month, b.month AS return_month, COUNT(DISTINCT b.user_id) AS retained_users FROM users a JOIN users b ON a.user_id = b.user_id AND b.month = DATE_ADD(a.month, INTERVAL 1 MONTH) GROUP BY a.month, b.month;",1
Amazon,Data Engineer,Machine Learning,Technical,How does regularization help in linear regression?,Regularization adds a penalty to the loss function to reduce model complexity and prevent overfitting.,2
Amazon,ML Engineer,Python,Technical,What is the difference between a tuple and a list?,Tuples are immutable and use parentheses; lists are mutable and use square brackets.,3
Amazon,Applied Scientist,NLP,Technical,What is tokenization in NLP?,Tokenization is the process of splitting text into individual words or phrases called tokens.,3
Amazon,Data Scientist,SQL,Technical,Write a SQL query to get the top 5 products with the highest average rating.,"SELECT product_id, AVG(rating) AS avg_rating FROM reviews GROUP BY product_id ORDER BY avg_rating DESC LIMIT 5;",1
Amazon,Data Engineer,Machine Learning,Technical,Explain how a decision tree splits data.,It uses criteria like Gini Impurity or Information Gain to split data at each node to maximize separation.,2
Amazon,ML Engineer,Python,Technical,How do you reverse a list in Python?,Use list[::-1] or the reverse() method.,3
Amazon,Applied Scientist,NLP,Technical,Explain how BERT handles context in NLP.,BERT uses bidirectional transformers to understand context from both left and right sides of a word.,3
Amazon,Data Scientist,SQL,Technical,Write a SQL query to find users who made purchases in two consecutive months.,SELECT DISTINCT a.user_id FROM purchases a JOIN purchases b ON a.user_id = b.user_id AND MONTH(b.date) = MONTH(a.date) + 1;,1
Amazon,Data Engineer,Machine Learning,Technical,What is the difference between precision and recall?,Precision is the ratio of true positives to total predicted positives; recall is the ratio of true positives to total actual positives.,2
Amazon,ML Engineer,Python,Technical,Explain the use of list comprehensions.,List comprehensions provide a concise way to create lists using a single line of code.,3
Amazon,Applied Scientist,NLP,Technical,What is the purpose of attention mechanisms?,Attention mechanisms help the model focus on relevant parts of the input when generating output.,3
Amazon,Data Scientist,SQL,Technical,Write a SQL code to explain the month-to-month user retention rate?,"SELECT a.month AS signup_month, b.month AS return_month, COUNT(DISTINCT b.user_id) AS retained_users FROM users a JOIN users b ON a.user_id = b.user_id AND b.month = DATE_ADD(a.month, INTERVAL 1 MONTH) GROUP BY a.month, b.month;",1
Amazon,Data Engineer,Machine Learning,Technical,How does regularization help in linear regression?,Regularization adds a penalty to the loss function to reduce model complexity and prevent overfitting.,2
Amazon,ML Engineer,Python,Technical,What is the difference between a tuple and a list?,Tuples are immutable and use parentheses; lists are mutable and use square brackets.,3
Amazon,Applied Scientist,NLP,Technical,What is tokenization in NLP?,Tokenization is the process of splitting text into individual words or phrases called tokens.,3
Amazon,Data Scientist,SQL,Technical,Write a SQL query to get the top 5 products with the highest average rating.,"SELECT product_id, AVG(rating) AS avg_rating FROM reviews GROUP BY product_id ORDER BY avg_rating DESC LIMIT 5;",1
Amazon,Data Engineer,Machine Learning,Technical,Explain how a decision tree splits data.,It uses criteria like Gini Impurity or Information Gain to split data at each node to maximize separation.,2
Amazon,ML Engineer,Python,Technical,How do you reverse a list in Python?,Use list[::-1] or the reverse() method.,3
Amazon,Applied Scientist,NLP,Technical,Explain how BERT handles context in NLP.,BERT uses bidirectional transformers to understand context from both left and right sides of a word.,3
Amazon,Data Scientist,SQL,Technical,Write a SQL query to find users who made purchases in two consecutive months.,SELECT DISTINCT a.user_id FROM purchases a JOIN purchases b ON a.user_id = b.user_id AND MONTH(b.date) = MONTH(a.date) + 1;,1
Amazon,Data Engineer,Machine Learning,Technical,What is the difference between precision and recall?,Precision is the ratio of true positives to total predicted positives; recall is the ratio of true positives to total actual positives.,2
Amazon,ML Engineer,Python,Technical,Explain the use of list comprehensions.,List comprehensions provide a concise way to create lists using a single line of code.,3
Amazon,Applied Scientist,NLP,Technical,What is the purpose of attention mechanisms?,Attention mechanisms help the model focus on relevant parts of the input when generating output.,3
